league,gameId,date,homeId,awayId,homeAbbr,awayAbbr
nbl,379fc3fc-58ad-11f1-9644-736e6b79ac99,2027-02-14,3bdb8ad6-7cf0-464d-b62c-eaca9145d06e,f8185bc5-2674-4293-a2a7-aeb8c7549b30,SEM,BRI
nbl,379eac2d-58ad-11f1-90d4-d98e318e0a1e,2027-02-14,3164912c-7e74-463b-8fc3-5f7d45edfcc6,bbae77db-317d-4c17-aa04-75d53d20ad15,ADL,NZL
nbl,37c1c5ea-58ad-11f1-956b-892c4438c413,2027-02-13,39fc4268-0cdf-455f-9ca1-12e344064000,0602b1bc-8dfb-488c-ac11-7895de1a7556,SYD,TAS
nbl,379c1ff2-58ad-11f1-b2ec-411a11259918,2027-02-13,41c8f340-4d0a-4d68-a3c7-1b31f643f803,105249a3-251d-4a9d-94f4-f57b8e0854b3,MEL,ILL
nbl,37be2ab4-58ad-11f1-841c-2942781e7154,2027-02-12,bc5327d5-322e-4796-b103-4c3b63869edb,f8185bc5-2674-4293-a2a7-aeb8c7549b30,PER,BRI
nbl,37974b51-58ad-11f1-85a6-d3f8eb4e543c,2027-02-12,6bf2a6e3-2626-491d-962b-48805205c06e,3164912c-7e74-463b-8fc3-5f7d45edfcc6,CNS,ADL
nbl,3797f6e3-58ad-11f1-87a8-fbbd24deadd3,2027-02-11,41c8f340-4d0a-4d68-a3c7-1b31f643f803,3bdb8ad6-7cf0-464d-b62c-eaca9145d06e,MEL,SEM
nbl,37995304-58ad-11f1-bced-f323fa41d58d,2027-02-11,bbae77db-317d-4c17-aa04-75d53d20ad15,39fc4268-0cdf-455f-9ca1-12e344064000,NZL,SYD
nbl,3797a4ad-58ad-11f1-bd80-679c79eacdbc,2027-02-10,0602b1bc-8dfb-488c-ac11-7895de1a7556,bc5327d5-322e-4796-b103-4c3b63869edb,TAS,PER
nbl,37995628-58ad-11f1-a2d1-491075c94f1a,2027-02-07,41c8f340-4d0a-4d68-a3c7-1b31f643f803,bc5327d5-322e-4796-b103-4c3b63869edb,MEL,PER
